Pais,Nota Global,Presupuesto,Acogida,Comunicacion,Cultura,Affluencia turistica,Gastronomia,Hoteles,Paisajes,Limpieza,Seguridad,Tranquilidad,Transportes,Ciudades,PIB (U.S. dollars),Ahorro nacional bruto (% de PIB),% Inflacion anual,Poblacion (Millones),Inversion (% de PIB),% paro,top 50 restaurantes,Nota gastronomica,Ranking Gastronomico,Platos en top 100,Indice de Criminalidad,Indice de Seguridad,Ranking Corrupcion,Indice de Corrupcion,Ranking amabilidad,Ranking facilidad de adaptación,Ranking bienvenida calurosa,Ranking amigos locales,Ranking facilidad amigos,Numero de turistas,Numero de camas,Numero de hoteles,Numero de habitaciones,Ratio de ocupacion,Numero de personas en sector turismo,% poblacion en turismo,Total English speakers,% personas que hablan ingles,muertes en carretera por cada 100.000 habitantes,muertes en carretera por cada 100.000 vehiculos,Total fallecidos al año,Total Km carreteras
Argentina,7.69,6.5,8.5,8.0,8.3,6.7,7.5,7.3,9.4,7.2,7.6,8.0,7.7,7.3,683533.0,13.09,22.0,47.6,13.48,6.3,7,4.28,25.0,2,63.32,36.68,99,63,31,15,11,15,19,7399000.0,711168.0,15713.0,266882.0,49.17,565859,1.2,2752681.0,6.52,136.0,243,5619,281290
Brasil,7.36,8.4,8.3,6.8,8.5,6.3,6.9,7.4,9.1,6.5,5.8,6.8,7.5,7.4,2125958.0,14.47,4.82,212.8,16.76,7.15,21,4.39,16.0,0,64.24,35.76,108,66,15,5,5,3,6,6353000.0,2407892.0,15637.0,1011254.0,55.3,8191578,3.8,12000000.0,5.56,234.0,575,46935,246000
Chile,7.35,6.5,7.8,7.5,7.6,6.6,6.4,7.0,9.3,7.2,7.6,8.0,7.5,6.6,343823.0,21.28,4.4,20.2,23.34,8.13,8,4.24,32.0,1,60.54,39.46,32,37,34,43,43,43,37,5431000.0,256806.0,5448.0,56106.0,40.45,620024,3.1,1585027.0,9.53,124.0,511,2179,77801
Bolivia,7.28,9.5,7.4,6.9,8.2,7.5,5.6,6.4,9.4,6.0,7.3,7.4,6.2,6.8,56339.0,11.39,15.53,12.6,14.95,5.05,0,3.88,97.0,0,64.58,35.42,133,72,100,29,32,19,38,323299.987792969,51213.0,1453.0,31087.0,38.4,155943,1.2,2876712.328767123,4.38,232.0,2052,3476,90568
Colombia,7.75,8.4,9.0,8.1,8.8,7.3,6.7,7.7,9.1,6.8,6.9,7.5,7.1,7.4,427766.0,16.34,5.1,53.1,18.59,10.0,5,4.34,18.0,1,60.97,39.03,92,61,56,8,10,7,11,1396000.0,606446.0,38523.0,361710.0,57.66,872527,1.6,2012950.0,4.22,168.0,833,8107,206500
Mexico,7.73,8.9,8.5,7.9,9.2,5.5,7.9,7.7,8.8,6.5,7.0,7.3,7.5,7.8,1692640.0,24.01,3.76,132.0,24.52,3.84,27,4.52,3.0,3,53.17,46.83,143,74,29,2,2,6,1,51128000.0,1780426.0,26524.0,890213.0,53.38,2814979,2.1,15686262.0,13.0,57.0,142,4125,398148
Peru,7.67,8.9,7.9,7.6,9.1,5.9,7.4,7.3,9.4,6.3,7.6,7.5,7.4,7.4,303293.0,19.61,1.36,34.3,17.92,6.45,29,4.4,14.0,2,66.72,33.28,128,69,38,22,19,23,23,1119000.0,532714.0,24819.0,308864.0,23.28,2506639,7.3,225000.0,1.24,139.0,993,4234,140672
Australia,7.63,5.3,8.4,8.4,7.0,6.5,5.4,7.1,9.2,8.5,9.1,8.7,7.7,7.9,1742461.0,23.6,2.1,27.2,23.98,3.7,32,4.09,53.0,0,47.41,52.59,10,23,6,20,17,20,27,1828000.0,676638.0,6115.0,324471.0,66.5,1414628,5.2,23161344.0,91.1,54.0,73,1252,873573
Nueva Zelanda,7.83,5.3,8.5,8.5,8.0,6.8,5.6,7.3,9.5,9.1,9.5,9.0,7.7,7.0,253436.0,17.24,2.7,5.3,24.17,3.72,0,3.96,82.0,0,48.45,51.55,4,17,100,21,18,17,26,996000.0,289321.0,2397.0,78478.0,59.0,317514,6.0,4750056.0,97.15,8.5,122,398,94000
China,7.0,7.5,6.6,4.5,8.4,5.1,7.6,6.9,8.7,5.8,8.9,6.1,7.8,7.1,19231705.0,42.36,0.2,1416.0,40.47,5.1,7,4.45,10.0,8,23.53,76.47,77,57,67,19,27,18,16,30402000.0,2046700.0,7337.0,1114100.0,38.35,21515000,1.5,10000000.0,0.7,188.0,1045,261367,4960600
Laos,7.74,9.1,8.5,6.9,8.3,7.6,7.3,7.2,8.8,6.4,8.9,8.8,5.9,6.9,16322.0,17.64,11.2,7.9,29.0,1.2,0,3.88,99.0,0,44.24,55.76,117,67,100,17,16,22,17,886400.024414063,189720.0,2403.0,99366.0,38.0,650347,8.2,2400000.0,4.45,143.0,675,971,39586
Indonesia,7.58,8.0,8.9,7.8,8.8,5.3,7.7,8.0,9.2,6.0,8.4,7.6,6.6,6.3,1429743.0,29.7,2.65,285.7,31.18,5.0,0,4.48,7.0,5,46.06,53.94,101,63,33,4,4,2,4,4053000.0,1124377.0,4129.0,747066.0,47.35,2294177,0.8,85968611.0,30.8,153.0,367,38279,496607
Filipinas,7.07,7.3,8.7,8.1,6.9,6.4,5.3,6.6,9.2,6.3,7.9,7.7,6.3,5.2,497495.0,19.21,1.7,116.8,22.64,4.48,0,4.21,36.0,0,43.4,56.6,116,67,19,3,3,4,2,1483000.0,424746.0,6758.0,212373.0,30.4,6214595,5.3,70117935.0,63.74,10.5,135,10379,216387
Tailandia,7.57,8.2,8.1,7.7,8.3,3.9,8.7,7.9,8.4,6.7,8.5,7.3,7.7,7.0,546224.0,19.13,-0.72,71.6,17.95,1.0,19,4.26,28.0,0,36.84,63.16,112,66,9,6,7,9,8,39916000.0,1627449.0,20631.0,777391.0,29.34,945753,1.3,17121187.0,27.16,362.0,746,24237,180053
Vietnam,7.28,8.5,7.5,6.7,8.3,5.3,8.3,7.3,8.6,6.0,8.2,6.0,7.3,6.7,490970.0,33.24,3.38,101.6,30.04,2.03,0,4.34,19.0,1,40.38,59.62,91,60,35,13,15,5,15,3837000.0,1133940.0,38000.0,780000.0,37.0,3720408,3.7,2524223.602484472,40.25,245.0,55,22419,195468
Malasia,7.83,8.5,8.1,8.1,8.2,7.1,7.7,7.4,7.9,6.9,8.6,7.9,7.9,7.5,444984.0,23.52,1.1,36.8,21.88,3.2,0,4.2,37.0,0,48.62,51.38,57,50,22,24,25,24,24,4333000.0,108602.0,5170.0,33491.0,28.2,3608017,9.8,15580000.0,57.34,240.0,299,7129,144403
Camboya,7.1,8.4,8.1,7.2,8.6,5.2,7.4,7.3,7.6,5.1,7.7,7.3,6.3,6.1,49799.0,34.77,2.1,17.8,32.51,0.27,0,3.0,125.0,0,50.15,49.85,158,79,65,26,39,25,21,1306000.0,134706.0,3284.0,79239.0,36.26,1381395,7.8,3500000.0,22.2,174.0,1072,2635,47263
